style,count
everyday,110836
summer,106388
spring,69600
fall,68766
chic,55882
casual,45262
winter,34470
trendy,16711
comfortable,14040
bohemian,12253
work,12221
classic,12107
romantic,11611
brunch,11160
casual party,10913
dinner date,10785
vintage,10372
going out with friends,9518
basic,9263
urban,8644
elegant,8343
eclectic,7776
lunch date,7106
shopping,6863
cocktail,6704
rocker,5810
business casual,5394
art opening,5288
school,5138
girls night out,4815
photo shoot,4551
other,4452
dinner party,4439
fashion show,4104
beach,4056
picnic,3928
preppy,3594
denim,3592
clubbing,3575
birthday,3464
music concert,3385
70s,3222
retro,2987
holiday party,2983
sexy,2972
outdoor,2877
traveling,2648
movie night,2586
formal,2572
bbq party,2543
amusement park,2486
80s,2484
androgynous,2292
leather,2278
60s,2215
vacation,2176
menswear,2171
natural,2061
company event,1942
anniversary,1882
50s,1768
first date,1722
shopping date,1703
90s,1581
wedding,1535
romantic dinner,1363
hippie,1336
business,1305
blind date,1286
diy,1278
farmer/s market,1239
punk,1202
sports,1184
museum outing,1135
boys night out,1029
hiking,972
geek,966
walking the dog,958
work happy hour,957
goth,914
spring bloom,841
conference,736
valentine/s day,718
theatre/opera/symphony,712
interview,655
cotton look,636
pool party,592
sneaker,577
naughty or nice,570
runway,566
modest,535
baby shower,512
wine tasting,512
the fair,502
game day,486
prom,483
show us your sole,385
,380
bridal shower,374
grandma,363
graduation,327
joie girl,316
bachelorette party,298
internship,291
chic city girl,260
summer vision,260
sweet summer,208
springtime,205
wear red wear hope,200
chictopia10,188
chic in the city,179
dynamite style contest,172
maternity,169
gym,162
magic mirror,152
vintage inspiration,148
bd it girl,138
crossroads trading,122
forever 21 standout,114
winter wonderland,114
revolve spring style,114
back to school,114
stylish sole,113
hot hot summer,106
karmaloop street style,106
blowfish zine style queen,104
i die for diy,103
wardrobe remix,93
modcloth vintage inspiration,93
yoga,89
holiday sweater,88
juicy fashion,84
boot style,81
i love 80s,80
purple lab foundation,77
chictopia/s week of giving,76
get the boot,69
forever sweetheart,68
new year/s glitter,67
ugly christmas sweater contest,66
summer music festival,65
chic and fuzzy,65
the winter shoe,65
endless summer,63
kipling make happy,61
beso inspired,58
pink crew,58
shoe lover,57
rave,57
shapematters,52
true denim,51
casual sneaker,44
halloween,44
sporty,32
jeffrey my way,32
get your kicks,29
art chictopia,28
throwback 2013,21
valentine/s day date,20
pink spring break,18
spring break contest,18
50 shades of leather,18
crazy for cut-offs!,16
american apparel super style,14
topshop bicycle club,14
summer prints contest,13
love music fashion contest,12
 bling in the new,12
out with the old,12
halloween - get your ghoul on,12
mad for plaid,12
dancing in florals contest,10
red white & blue,10
coach timeless love,10
music festival fashion,9
date night contest,7
the mad hatter,4
sock it to me,2
smells like teen spirit,1
